City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,glendive,47.1053,-104.7125,24.54,56,0,3.09,US,1691723125
292,abepura,-2.6333,140.5833,33.45,49,20,0.0,ID,1691723125
293,holualoa,19.6228,-155.9522,25.91,81,100,3.6,US,1691723125
294,aykhal,66.0,111.5,18.76,72,100,2.5,RU,1691723126
295,touros,-5.1989,-35.4608,23.7,84,11,5.86,BR,1691723126
296,hithadhoo,-0.6,73.0833,27.88,75,98,4.32,MV,1691723126
297,strathmore,51.0501,-113.3852,19.67,63,59,1.54,CA,1691722800
298,kudat,6.8837,116.8477,31.96,66,20,4.12,MY,1691723126
299,tonghae,37.5439,129.1069,28.65,66,43,4.2,KR,1691723127
300,qamdo,31.1667,97.2333,9.72,78,100,1.12,CN,1691723127
301,linhares,-19.3911,-40.0722,19.5,93,0,0.53,BR,1691722827
302,malango,-2.9627,119.9001,24.86,72,100,1.44,ID,1691723127
303,lamu,-2.2717,40.902,24.12,86,17,5.73,KE,1691723127
304,sandnessjoen,66.0217,12.6316,11.29,100,75,1.03,NO,1691723128
305,kill devil hills,36.0307,-75.676,27.21,79,40,3.6,US,1691722945
306,page,36.9147,-111.4558,22.88,61,0,3.58,US,1691723128
307,porto novo,6.4965,2.6036,23.86,88,100,2.65,BJ,1691723128
308,saint-joseph,-21.3667,55.6167,19.21,76,0,1.54,RE,1691723128
309,melfort,52.8667,-104.6177,13.07,88,99,3.09,CA,1691723129
310,essaouira,31.5125,-9.77,31.72,59,20,3.6,MA,1691723129
311,marina di pisa-tirrenia-calambrone,43.6272,10.292,20.94,88,0,1.03,IT,1691723129
312,villa madero,19.4,-101.2667,13.99,93,80,1.87,MX,1691723129
313,poiana teiului,47.1,25.9667,14.09,88,16,1.66,RO,1691723130
314,gilgit,35.9221,74.3087,28.68,47,33,0.78,PK,1691723130
315,mutuali,-14.8706,37.0044,13.41,91,0,1.64,MZ,1691723130
316,talcahuano,-36.7167,-73.1167,8.82,93,20,1.03,CL,1691722515
317,champagnole,46.7445,5.9135,19.16,88,7,1.42,FR,1691723131
318,colorado springs,38.8339,-104.8214,23.52,49,75,3.09,US,1691723047
319,new norfolk,-42.7826,147.0587,14.4,70,100,3.44,AU,1691723131
320,brokopondo,4.75,-55.1667,25.55,80,96,3.87,SR,1691723131
321,kribi,2.95,9.9167,24.15,91,100,2.64,CM,1691723132
322,luwero,0.8492,32.4731,16.08,96,37,0.69,UG,1691723077
323,tual,-5.6667,132.75,25.74,81,57,8.4,ID,1691723132
324,taksimo,56.3444,114.8794,16.35,98,100,0.55,RU,1691723133
325,illizi,26.4833,8.4667,25.89,18,0,1.35,DZ,1691722941
326,olinda,-8.0089,-34.8553,22.85,88,75,3.09,BR,1691723133
327,horta,38.5333,-28.6333,20.57,88,0,3.13,PT,1691723133
328,nabire,-3.3667,135.4833,29.47,68,50,1.62,ID,1691723133
329,carauari,-4.8828,-66.8958,23.85,89,40,0.53,BR,1691723121
330,alekseyevka,50.6309,38.6903,20.76,75,100,5.07,RU,1691723134
331,vila franca do campo,37.7167,-25.4333,22.23,93,89,3.03,PT,1691723134
332,bulgan,48.8125,103.5347,18.04,62,31,1.62,MN,1691723135
333,mumbwa,-14.9783,27.0619,12.63,75,0,3.16,ZM,1691723135
334,mo i rana,66.3128,14.1428,14.26,80,100,2.68,NO,1691723135
335,port lincoln,-34.7333,135.8667,13.9,59,99,1.64,AU,1691723136
336,sao vicente,-23.9631,-46.3919,25.15,26,13,2.0,BR,1691723136
337,machico,32.7,-16.7667,28.35,23,20,7.72,PT,1691723136
338,ancud,-41.8697,-73.8203,6.05,79,35,5.11,CL,1691723136
339,kaa-khem,51.6833,94.7333,22.5,46,25,2.09,RU,1691723137
340,arraial do cabo,-22.9661,-42.0278,21.22,90,10,10.38,BR,1691723137
341,solwezi,-12.1688,26.3894,10.36,56,0,1.89,ZM,1691722884
342,nguigmi,14.2495,13.1092,27.4,68,57,1.05,NE,1691723137
343,san luis,-33.295,-66.3356,12.39,52,1,5.08,AR,1691722873
344,sikasso,10.9167,-7.0,22.21,97,100,2.76,ML,1691723138
345,lib,8.3122,167.3766,28.0,71,10,4.49,MH,1691723138
346,lihue,21.9789,-159.3672,29.58,64,0,6.17,US,1691723100
347,rancho palos verdes,33.7445,-118.387,23.61,89,40,5.66,US,1691723002
348,justo daract,-33.8594,-65.1828,11.21,51,4,2.14,AR,1691723139
349,maragogi,-9.0122,-35.2225,23.6,82,63,4.34,BR,1691723139
350,coari,-4.085,-63.1414,25.37,68,30,0.57,BR,1691723139
351,garoua boulai,5.8833,14.55,18.0,98,100,0.49,CM,1691723140
352,olsztyn,53.7799,20.4942,8.98,76,97,1.81,PL,1691723140
353,sayan,-11.1361,-77.1933,20.13,69,3,0.67,PE,1691723140
354,sassandra,4.95,-6.0833,23.15,90,91,2.37,CI,1691722882
355,wenchang,30.904,118.4887,32.55,59,4,1.61,CN,1691723141
356,mpika,-11.8343,31.4529,10.47,76,0,3.66,ZM,1691723141
357,antsiranana,-12.2787,49.2917,21.17,83,2,4.47,MG,1691723141
358,genhe,50.7833,121.5167,21.52,60,100,2.51,CN,1691723142
